Suggested_item,Category,Region,Meal_occasion,Standardization_hint
Gobi do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Gobi tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Jackfruit (kathal) tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Kadai vegetable,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Karela tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Lauki tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Matar tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mixed vegetable curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Mushroom tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Okra tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Palak tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Parwal tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Pumpkin tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Radish tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Sarson ka saag,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tinda tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori bharta,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori do pyaza,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori dry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori fry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori jalfrezi,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori jeera,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori korma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori kurma,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori masala,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori matar gravy,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori salan,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
Tori tamarind curry,Vegetable dishes,,Lunch/Dinner,Include cooking method (boiled/steamed/fried/roasted) and key add-ons (oil/ghee/butter/sugar) to avoid GI/GL ambiguity.
